Site,Latitude,Longitude,Material,δ13C,Calibrated age range,RSL (m),Error (± m),Reference,Evidence,14C age,14C st dev
Wells,43.292,70.573,HM peat,,3445-3079,-1.56,0.39,Kelley et al. (1995),3,3080,70
Wells,43.292,70.573,HM peat,,4424-4098,-3.14,0.39,Kelley et al. (1995),3,3865,55
Wells,43.292,70.573,HM peat,,1361-1145,-1.17,0.39,Kelley et al. (1995),3,1345,55
Wells,43.292,70.573,LM peat,,1816-1550,-0.96,0.69,Kelley et al. (1995),3,1755,55
Wells,43.292,70.573,LM peat,,2740-2362,-1.85,0.69,Kelley et al. (1995),3,2495,80
Wells,43.292,70.573,HM peat,,4404-3982,-4.19,0.39,Kelley et al. (1995),3,3780,55
Wells,43.292,70.573,HM peat,,3467-3081,-2.24,0.39,Kelley et al. (1995),3,3105,70
Wells,43.292,70.573,HM peat,,4226-3898,-2.92,0.39,Kelley et al. (1995),3,3705,50
Wells,43.292,70.573,HHM peat,,4871-4539,-3.79,0.39,Kelley et al. (1995),3,4220,60
Wells,43.292,70.573,Sp,,1046-744,-0.67,0.38,Kelley et al. (1995),2,980,55
Wells,43.292,70.573,Sp,,2303-1929,-1.58,0.38,Kelley et al. (1995),2,2100,55
Wells,43.292,70.573,Sp,,2749-2365,-2.38,0.39,Kelley et al. (1995),2,2520,60
Wells,43.292,70.573,Sp,,3964-3638,-3.01,0.39,Kelley et al. (1995),2,3510,60
Wells,43.292,70.573,Saltmarsh peat,-25.4,492-0,-0.53,0.43,Gehrels et al. (2002),1,270,60
Wells,43.292,70.573,Saltmarsh peat,,633-319,-0.60,0.43,Gehrels et al. (2002),1,465,60
Wells,43.292,70.573,Saltmarsh peat,-22.8,900-672,-0.68,0.43,Gehrels et al. (2002),1,825,45
Wells,43.292,70.573,Saltmarsh peat,,1055-795,-0.77,0.43,Gehrels et al. (2002),1,1020,55
Wells,43.292,70.573,Saltmarsh peat,-13.5,1168-930,-0.82,0.43,Gehrels et al. (2002),1,1105,45
Wells,43.292,70.573,Saltmarsh peat,-25.4,1228-932,-0.88,0.43,Gehrels et al. (2002),1,1140,60
Phippsburg,43.752,69.822,HM peat,,2960-2544,-1.89,0.40,Gehrels et al. (1996),1,2675,70
Phippsburg,43.752,69.822,HM peat,-17.1,4400-3928,-3.03,0.41,Gehrels et al. (1996),1,3760,60
Damariscotta,43.964,69.571,HHM peat,-27.8,7413-7021,-15.31,0.40,Gehrels et al. (1996),3,6295,55
Wells,43.292,70.573,BM peat,,4967-4617,-3.60,0.39,Gehrels et al. (1996),1,4255,55
Wells,43.292,70.573,BM peat,-25.7,4965-4539,-2.95,0.38,Gehrels et al. (1996),1,4235,70
Wells,43.292,70.573,BM peat,,4815-3927,-2.80,0.40,Gehrels et al. (1996),1,3900,145
Wells,43.292,70.573,BM peat,,3680-3362,-2.90,0.39,Gehrels et al. (1996),1,3265,70
Wells,43.292,70.573,BM peat,,3700-3446,-1.75,0.39,Gehrels et al. (1996),1,3340,55
Wells,43.292,70.573,BM peat,,5591-5319,-4.15,0.39,Gehrels et al. (1996),1,4735,70
Wells,43.340,70.541,LM peat,,966-330,-0.36,0.76,Kelley et al. (1995),1,705,165
,,,,,,,,,,,
Marine Limiting,,,,,,,,,,,
Kennebec River,43.701,69.824,M. edu,,8104-7634,-25.62,3.02,Barnhardt et al. (1995),4,7490,90
Kennebec River,43.701,69.824,M. edu,,7900-7514,-25.62,3.02,Barnhardt et al. (1995),4,7310,70
Kennebec River,43.707,69.794,M. bal,,9379-8977,-26.62,3.02,Barnhardt et al. (1995),4,8610,40
Kennebec River,43.707,69.794,M. bal,,9456-9068,-26.62,3.02,Barnhardt et al. (1995),4,8710,35
Saco Bay,43.533,70.217,A. isl,,488-146,-54.31,3.02,Kelley et al. (1992),4,785,35
Saco Bay,43.533,70.217,H. arc,,6624-5878,-51.51,3.02,Kelley et al. (1992),4,5915,155
Cape Small,43.700,69.767,M. are,,9998-9310,-22.61,3.02,Kelley et al. (1992),4,9000,100
Cape Small,43.700,69.767,M. are,,10577-10191,-22.71,3.02,Kelley et al. (1992),4,9630,75
Cape Small,43.700,69.767,M. mod,,10646-10230,-22.91,3.02,Kelley et al. (1992),4,9700,65
Cape Small,43.700,69.767,M. are,,10220-9576,-24.71,3.02,Kelley et al. (1992),4,9260,100
Cape Small,43.700,69.767,M. edu,,8962-8416,-22.86,3.02,Kelley et al. (1992),4,8250,80
Cape Small,43.700,69.767,M. are,,10171-9623,-23.91,3.02,Kelley et al. (1992),4,9235,60
Cape Small,43.700,69.767,M. are,,10091-9465,-24.26,3.02,Kelley et al. (1992),4,9090,95
Cape Small,43.700,69.767,M. are,,10216-9550,-24.36,3.02,Kelley et al. (1992),4,9250,110
Cape Small,43.700,69.767,M. are,,7904-7438,-24.51,3.02,Kelley et al. (1992),4,7270,105
